Designator,Footprint,Quantity,Value,LCSC Part #
"C12, C13, C25, C38, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C52, C53, C54, C55, C58, C59, C6",0402,21,0.1uF,
"C24, C56, C62, C63",0402,4,4.7uF,
C26,0402,1,0.33uF,
C28,0603,1,0.1uF,
C29,0402,1,2.2uF,
"C34, C35",0402,2,18pF,
"C36, C37",0402,2,6.8nF,
C39,0402,1,22nF,
C40,0603,1,1nF,
"C51, C57, C60",0402,3,1uF,
D1,0603,1,R,
"D10, D13, D5",0603,3,B,
"D11, D12",0603,2,W,
"D14, D15",0603,2,O,
D3,0603,1,G,
D4,2010,1,MS18F,
F1,0603,1,box,
FB1,0603,1,600Ω/500mA,
J1,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04,
J3,JST_ZH_B5B-ZR_1x05_P1.50mm_Vertical,1,Conn_01x05,
J4,RJ45_Bel_SI-60062-F,1,RJ45_Bel_SI-60062-F,
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
J7,JST_ZH_B6B-ZR_1x06_P1.50mm_Vertical,1,Conn_01x06,
"R1, R31",WA04X102,2,WA04X102,
"R10, R22",0603,2,470,
"R11, R2, R21, R25, R30, R32, R33, R34, R4, R6, R7, R79, R8, R9",0402,14,1k,
R16,0402,1,10,
"R17, R18, R19, R20",0402,4,49.9k,
R23,0603,1,10k,
R24,0402,1,2.2k,
"R28, R29",0402,2,10k,
R3,0402,1,12.3k,
R5,MNR04M0ABJ103,1,MNR04M0ABJ103,
R53,0402,1,1M,
"R77, R78",0402,2,4.7k,
"SW1, SW2",switch_TVAF06-A020B-R,2,SW_Push,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32G474RCTx,
U10,SOT-23-5,1,MCP73831-2-OT,
U11,SOT-363_SC-70-6,1,LM66100DCK,
U18,USB_C_Receptacle_Nelton_5077CR-16-SMC2-BK-TR,1,USB_Type-C,
U3,LQFP-48_7x7mm_P0.5mm,1,W5500,
"U5, U7",RKJXV122400R,2,RKJXV122400R,
U6,SOT-89-5,1,NJM2884U1-33,
"U8, U9",TMHU28,2,TMHU28,
Y2,XRCGB25M000FFS1AR0,1,XRCGB25M000FFS1AR0,
