Designator,Mid X,Mid Y,Rotation,Layer
C12,153.665001,-42.83,180.0,top
C13,158.25,-41.3975,270.0,top
C24,178.62,-57.75,0.0,top
C25,175.79,-53.7975,90.0,top
C26,160.5675,-43.2075,0.0,top
C28,135.0175,-51.69,180.0,top
C29,159.4325,-49.34,180.0,top
C34,169.12,-50.2625,90.0,top
C35,167.444157,-51.798736,180.0,top
C36,169.65,-66.0975,270.0,top
C37,168.73,-66.0975,270.0,top
C38,173.57,-66.0125,90.0,top
C39,162.28,-66.91,180.0,top
C40,159.23,-78.55,270.0,top
C41,164.8325,-61.84,180.0,top
C42,170.69,-63.9775,270.0,top
C43,174.0475,-61.94,0.0,top
C44,175.45,-60.35,270.0,top
C45,176.31,-58.15,0.0,top
C46,175.94,-55.9775,90.0,top
C47,171.98,-51.92,0.0,top
C48,162.38,-63.1425,90.0,top
C49,163.31,-64.1525,90.0,top
C50,156.87,-58.41517,90.0,top
C51,158.4225,-58.12,0.0,top
C52,154.08,-67.9125,270.0,top
C53,156.255,-56.8,0.0,top
C54,144.55,-54.89,90.0,top
C55,142.87,-66.19,180.0,top
C56,158.18,-54.11,0.0,top
C57,146.3975,-69.8,0.0,top
C58,146.3975,-68.88,0.0,top
C59,157.49619,-59.965549,0.0,top
C6,154.112501,-47.49,0.0,top
C60,158.417243,-59.04631,0.0,top
C62,190.036426,-66.755837,0.0,top
C63,190.038212,-72.084729,0.0,top
D1,151.98,-87.615003,90.0,top
D10,156.36,-87.615001,90.0,top
D11,153.618751,-50.17,0.0,top
D12,188.589089,-65.418207,0.0,top
D13,157.82,-87.615001,90.0,top
D14,154.805,-76.354999,90.0,top
D15,156.27,-76.354999,90.0,top
D3,153.44,-87.615002,90.0,top
D4,183.94,-69.743483,270.0,top
D5,154.9,-87.615002,90.0,top
F1,183.95,-75.293484,90.0,top
FB1,153.545001,-45.195001,90.0,top
J1,133.480001,-33.55,270.0,bottom
J3,204.8,-58.0,90.0,top
J4,170.009777,-76.320444,0.0,top
J5,186.039098,-83.249098,180.0,top
J7,134.674229,-64.50026,270.0,top
R1,143.88,-52.23,90.0,top
R10,180.63,-81.8275,90.0,top
R11,156.36,-84.852502,270.0,top
R16,162.38,-65.3425,90.0,top
R17,172.0,-66.63,180.0,top
R18,172.0,-65.69,180.0,top
R19,164.88,-64.719999,180.0,top
R2,151.98,-84.852502,270.0,top
R20,164.88,-65.66,180.0,top
R21,156.56375,-50.17,180.0,top
R22,159.25,-83.9275,90.0,top
R23,134.9675,-57.58,180.0,top
R24,186.261327,-67.641826,90.0,top
R25,187.841315,-66.752297,0.0,top
R28,205.03,-84.5,0.0,top
R29,147.89,-85.35,135.0,top
R3,172.37,-63.31,0.0,top
R30,194.5,-48.0,225.0,top
R31,192.312825,-49.943916,225.0,top
R32,157.82,-84.8525,270.0,top
R33,154.805,-73.592499,270.0,top
R34,156.27,-73.594999,270.0,top
R4,153.44,-84.852502,270.0,top
R5,162.911998,-59.946973,315.0,top
R53,169.69,-51.91,0.0,top
R6,154.9,-84.852502,270.0,top
R7,143.19,-50.2,0.0,top
R77,143.415001,-49.03,180.0,top
R78,147.965001,-49.43,180.0,top
R79,158.06,-43.28,180.0,top
R8,161.847504,-54.61,45.0,top
R9,161.46,-56.43,0.0,top
SW1,131.43,-49.31,270.0,top
SW2,131.435,-55.16,270.0,top
U1,149.335,-61.48,0.0,top
U10,188.520001,-69.378483,270.0,top
U11,156.22,-41.48,180.0,top
U18,147.325,-42.8,180.0,top
U3,169.69,-57.6375,0.0,top
U5,140.8,-77.2,0.0,top
U6,158.15,-46.2475,180.0,top
U7,199.2,-77.2,0.0,top
U8,133.5,-26.5,0.0,top
U9,206.5,-26.5,0.0,top
Y2,167.507797,-50.391594,0.0,top
